"Property","English","Spanish","German","Japanese","Korean","Chinese (Simplified)","Russian"
"_TranslationBy","Translation provided by:","Traducción proporcionada por: ","Übersetzung bereitgestellt von","翻訳を提供しました","번역 제공:","翻译由","Перевод предоставлен"
"_TranslatorName","Your Name","Yami","Thryrallo / DrBlackRat","Tony_Lewis","Korea_Yujin","momo","Pacmard"
"_TranslatorContact","Your Discord","@yamikadesu","@thryrallo / @drblackrat","@tony_lewis","@korea_yujin","@xmaomao","@pacmard"
"_ForgotToLockMaterial",";;YOU_FORGOT_TO_LOCK_THIS_MATERIAL;",";;OLIVIDASTE BLOQUEAR ESTE MATERIAL;",";;DU HAST VERGESSEN DIESES MATERIAL ZU SPERREN;",";;マテリアルのロックをお忘れです;",";;마테리얼을 잠그는 것을 잊으셨습니다;","材质未锁定",";;ВЫ ЗАБЫЛИ ЗАБЛОКИРОВАТЬ ЭТОТ МАТЕРИАЛ;"
"_LockTooltip","Animations don't work by default when locked in. Right click a property if you want to animate it. The shader will lock in automatically at upload time.","Las animaciones no funcionan por defecto cuando están bloqueadas. Haga clic derecho en una propiedad si desea animarla. El sombreador se bloqueará automáticamente en el tiempo de carga.","Animationen funktionieren standardmäßig nicht, wenn das Material gesperrt ist. Klicke mit der rechten Maustaste auf eine Eigenschaft, und aktivieren ""Animieren"" damit diese auch im gesperrten Zustand animiert werden kann.","","애니메이션은 기본적으로 잠겨 있으면 작동하지 않습니다. 잠겨 있는 경우 속성을 마우스 오른쪽 버튼으로 클릭하십시오","默认情况下，锁定时动画不生效。如果要对属性进行动画处理，请右键单击该属性。着色器将在上传时自动锁定。","По умолчанию анимации не работают когда материал заблокирован.Щелкните правой кнопкой мыши по свойству и выберите «Анимировать» чтобы включить анимации даже при заблокированном материале."
"GeometryShader_Enabled","GEOMETRY SHADER ENABLED","SOMBREADOR DE GEOMETRÍA ACTIVADO","GEOMETRIE-SHADER AKTIVIERT","ジオメトリ シェーダが有効","지오메트리 셰이더 활성화됨","几何着色器已启用","ГЕОМЕТРИЧЕСКИЙ ШЕЙДЕР ВКЛЮЧЕН"
"Tessellation_Enabled","TESSELLATION ENABLED","TESELADO ACTIVADO","TESSELLIERUNG AKTIVIERT","テッセレーション有効","테셀레이션 활성화됨","曲面细分已启用","ТЕССЕЛЯЦИЯ ВКЛЮЧЕНА"
"_Mode","Rendering Preset","Ajuste predeterminado de renderizado","Rendering-Voreinstellung","レンダリング プリセット","렌더링 프리셋","渲染预设","Предустановки Рендеринга"
"m_mainCategory","Color & Normals","Color y normales","Farbe & Normalen","色とノーマル (法線)","색상 & 노멀","颜色 & 法线","Цвет & Нормали"
"_Color","Color & Alpha","Color y alfa","Farbe & Alpha","カラー＆アルファ","색상 & 알파","颜色 & Alpha","Цвет & Альфа"
